model,image_id,ref_id,category_id,query,clean_eligible,raw_clean_candidate_count,tracked_clean_candidate_count,clean_correct,clean_best_iou,diagnostic_budget,diagnostic_probe_count,diagnostic_coverage,diagnostic_coverage_lower,diagnostic_coverage_upper,diagnostic_conditional_ranking,diagnostic_conditional_ranking_lower,diagnostic_conditional_ranking_upper,diagnostic_operational,diagnostic_operational_lower,diagnostic_operational_upper,diagnostic_coverage_risk,diagnostic_ranking_risk,diagnostic_risk_decomposition_error,reference_probe_count,reference_coverage,reference_coverage_lower,reference_coverage_upper,reference_conditional_ranking,reference_conditional_ranking_lower,reference_conditional_ranking_upper,reference_operational,reference_operational_lower,reference_operational_upper,reference_coverage_risk,reference_ranking_risk,reference_risk_decomposition_error,full_manifest_operational
yoloworld,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,4,4,0,0.0,5,5,0.4,0.05274495052631693,0.8533672003653268,1.0,0.15811388300841903,1.0,0.4,0.05274495052631693,0.8533672003653268,0.6,0.0,0.0,80,0.375,0.2691931699468049,0.4903547644071125,1.0,0.8842966917779722,1.0,0.375,0.2691931699468049,0.4903547644071125,0.625,0.0,0.0,0.4
yoloworld,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,4,4,0,0.0,10,10,0.4,0.1215522581198272,0.7376219233930549,1.0,0.3976353643835254,1.0,0.4,0.1215522581198272,0.7376219233930549,0.6,0.0,0.0,80,0.375,0.2691931699468049,0.4903547644071125,1.0,0.8842966917779722,1.0,0.375,0.2691931699468049,0.4903547644071125,0.625,0.0,0.0,0.4
yoloworld,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,4,4,0,0.0,20,20,0.35,0.15390920478454118,0.5921885345328282,1.0,0.5903836027749967,1.0,0.35,0.15390920478454118,0.5921885345328282,0.65,0.0,0.0,80,0.375,0.2691931699468049,0.4903547644071125,1.0,0.8842966917779722,1.0,0.375,0.2691931699468049,0.4903547644071125,0.625,0.0,0.0,0.35
yoloworld,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,4,4,0,0.0,40,40,0.375,0.22726272248182594,0.5419852477673891,1.0,0.781980639089466,1.0,0.375,0.22726272248182594,0.5419852477673891,0.625,0.0,0.0,80,0.375,0.2691931699468049,0.4903547644071125,1.0,0.8842966917779722,1.0,0.375,0.2691931699468049,0.4903547644071125,0.625,0.0,0.0,0.375
yoloworld,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",0,1,0,0,0.0,5,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",0,1,0,0,0.0,10,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",0,1,0,0,0.0,20,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",0,1,0,0,0.0,40,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,0,1,0,1,0.8599870891515179,5,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,0,1,0,1,0.8599870891515179,10,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,0,1,0,1,0.8599870891515179,20,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,0,1,0,1,0.8599870891515179,40,0,0.0,,,,,,0.0,,,,,,0,0.0,,,,,,0.0,,,,,,0.0
yoloworld,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,20,5,0,0.0,5,5,0.8,0.2835820638819106,0.9949492366205319,1.0,0.3976353643835254,1.0,0.8,0.2835820638819106,0.9949492366205319,0.19999999999999996,0.0,0.0,80,0.7875,0.6817141914403442,0.8710635049024182,0.9682539682539683,0.8899806265911197,0.9961320175035812,0.7625,0.6542230288597322,0.8505462481433591,0.21250000000000002,0.024999999999999998,2.42861286636753e-17,0.8
yoloworld,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,20,5,0,0.0,10,10,0.6,0.2623780766069451,0.8784477418801728,1.0,0.5407418735600996,1.0,0.6,0.2623780766069451,0.8784477418801728,0.4,0.0,0.0,80,0.7875,0.6817141914403442,0.8710635049024182,0.9682539682539683,0.8899806265911197,0.9961320175035812,0.7625,0.6542230288597322,0.8505462481433591,0.21250000000000002,0.024999999999999998,2.42861286636753e-17,0.6
