model,image_id,ref_id,category_id,query,clean_eligible,raw_clean_candidate_count,tracked_clean_candidate_count,clean_correct,clean_best_iou,diagnostic_budget,diagnostic_probe_count,diagnostic_coverage,diagnostic_coverage_lower,diagnostic_coverage_upper,diagnostic_conditional_ranking,diagnostic_conditional_ranking_lower,diagnostic_conditional_ranking_upper,diagnostic_operational,diagnostic_operational_lower,diagnostic_operational_upper,diagnostic_coverage_risk,diagnostic_ranking_risk,diagnostic_risk_decomposition_error,reference_probe_count,reference_coverage,reference_coverage_lower,reference_coverage_upper,reference_conditional_ranking,reference_conditional_ranking_lower,reference_conditional_ranking_upper,reference_operational,reference_operational_lower,reference_operational_upper,reference_coverage_risk,reference_ranking_risk,reference_risk_decomposition_error,full_manifest_operational
owlv2,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,20,5,1,0.9276349051101923,5,5,1.0,0.47817624989501856,1.0,0.8,0.2835820638819106,0.9949492366205319,0.8,0.2835820638819106,0.9949492366205319,0.0,0.19999999999999996,0.0,80,0.925,0.8438720682639279,0.9719794538231588,0.9594594594594594,0.8860627432534374,0.9915602436292356,0.8875,0.7971534080830098,0.9472484868543125,0.07499999999999996,0.037500000000000026,6.245004513516506e-17,0.8
owlv2,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,20,5,1,0.9276349051101923,10,10,0.9,0.5549838829718046,0.9974714214555382,0.8888888888888888,0.517503485082663,0.9971908632534008,0.8,0.4439045376923585,0.9747892736731666,0.09999999999999998,0.10000000000000005,6.938893903907228e-17,80,0.925,0.8438720682639279,0.9719794538231588,0.9594594594594594,0.8860627432534374,0.9915602436292356,0.8875,0.7971534080830098,0.9472484868543125,0.07499999999999996,0.037500000000000026,6.245004513516506e-17,0.8
owlv2,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,20,5,1,0.9276349051101923,20,20,0.95,0.7512672372279723,0.9987349105020502,0.8421052631578947,0.6042154487333258,0.9661737509982353,0.8,0.5633859970033317,0.9426660029499673,0.050000000000000044,0.15000000000000005,1.3877787807814457e-16,80,0.925,0.8438720682639279,0.9719794538231588,0.9594594594594594,0.8860627432534374,0.9915602436292356,0.8875,0.7971534080830098,0.9472484868543125,0.07499999999999996,0.037500000000000026,6.245004513516506e-17,0.8
owlv2,469832,34046,419,The individual positioned before the white sofa adorned with yellow cushions along the wall dons blue jeans coupled with a green and grey hoodie featuring layers.,1,20,5,1,0.9276349051101923,40,40,0.925,0.796135251267101,0.9842578201489585,0.8378378378378378,0.6798629241323288,0.9380742786666036,0.775,0.6154883226965773,0.891603361015928,0.07499999999999996,0.15000000000000002,0.0,80,0.925,0.8438720682639279,0.9719794538231588,0.9594594594594594,0.8860627432534374,0.9915602436292356,0.8875,0.7971534080830098,0.9472484868543125,0.07499999999999996,0.037500000000000026,6.245004513516506e-17,0.775
owlv2,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",1,20,5,1,0.903521671094172,5,5,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,0.0,0.0,0.0,80,0.9625,0.8942980149834914,0.9921988127342833,0.961038961038961,0.8903346333254779,0.9918920827333061,0.925,0.8438720682639279,0.9719794538231588,0.03749999999999998,0.03750000000000001,3.469446951953614e-17,1.0
owlv2,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",1,20,5,1,0.903521671094172,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,0.9625,0.8942980149834914,0.9921988127342833,0.961038961038961,0.8903346333254779,0.9918920827333061,0.925,0.8438720682639279,0.9719794538231588,0.03749999999999998,0.03750000000000001,3.469446951953614e-17,1.0
owlv2,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",1,20,5,1,0.903521671094172,20,20,1.0,0.8315665290169146,1.0,0.95,0.7512672372279723,0.9987349105020502,0.95,0.7512672372279723,0.9987349105020502,0.0,0.050000000000000044,0.0,80,0.9625,0.8942980149834914,0.9921988127342833,0.961038961038961,0.8903346333254779,0.9918920827333061,0.925,0.8438720682639279,0.9719794538231588,0.03749999999999998,0.03750000000000001,3.469446951953614e-17,0.95
owlv2,1001505146,9810,308,"The children's bicycle in a vibrant pink hue, featuring pink training wheels, is situated on the left side within the display area.",1,20,5,1,0.903521671094172,40,40,1.0,0.9119026971211976,1.0,0.975,0.8684141415172343,0.9993672550679505,0.975,0.8684141415172343,0.9993672550679505,0.0,0.025000000000000022,0.0,80,0.9625,0.8942980149834914,0.9921988127342833,0.961038961038961,0.8903346333254779,0.9918920827333061,0.925,0.8438720682639279,0.9719794538231588,0.03749999999999998,0.03750000000000001,3.469446951953614e-17,0.975
owlv2,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,1,20,5,1,0.9509764234168413,5,5,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,0.0,0.0,0.0,80,0.8625,0.7672791291752744,0.9293121672961213,1.0,0.9479419421369203,1.0,0.8625,0.7672791291752744,0.9293121672961213,0.13749999999999996,0.0,0.0,1.0
owlv2,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,1,20,5,1,0.9509764234168413,10,10,0.8,0.4439045376923585,0.9747892736731666,1.0,0.6305833524471808,1.0,0.8,0.4439045376923585,0.9747892736731666,0.19999999999999996,0.0,0.0,80,0.8625,0.7672791291752744,0.9293121672961213,1.0,0.9479419421369203,1.0,0.8625,0.7672791291752744,0.9293121672961213,0.13749999999999996,0.0,0.0,0.8
owlv2,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,1,20,5,1,0.9509764234168413,20,20,0.8,0.5633859970033317,0.9426660029499673,1.0,0.7940927857921773,1.0,0.8,0.5633859970033317,0.9426660029499673,0.19999999999999996,0.0,0.0,80,0.8625,0.7672791291752744,0.9293121672961213,1.0,0.9479419421369203,1.0,0.8625,0.7672791291752744,0.9293121672961213,0.13749999999999996,0.0,0.0,0.8
owlv2,1000922276,8310,36,The scarlet motor scooter cruising on the cobblestone road beside the white and orange emergency vehicle.,1,20,5,1,0.9509764234168413,40,40,0.825,0.6722098666384142,0.9266172706479148,1.0,0.8942371899254207,1.0,0.825,0.6722098666384142,0.9266172706479148,0.17500000000000004,0.0,0.0,80,0.8625,0.7672791291752744,0.9293121672961213,1.0,0.9479419421369203,1.0,0.8625,0.7672791291752744,0.9293121672961213,0.13749999999999996,0.0,0.0,0.825
owlv2,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,6,5,0,0.0,5,5,0.4,0.05274495052631693,0.8533672003653268,0.5,0.01257911709342506,0.9874208829065749,0.2,0.005050763379468061,0.7164179361180893,0.6,0.2,5.551115123125783e-17,80,0.575,0.4593888114309382,0.6848902345476577,0.8260869565217391,0.6858093499247007,0.921796576193647,0.475,0.36213358167715265,0.5897721586232294,0.42500000000000004,0.09999999999999999,1.3877787807814457e-17,0.2
owlv2,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,6,5,0,0.0,10,10,0.5,0.18708602844739855,0.8129139715526015,0.4,0.05274495052631693,0.8533672003653268,0.2,0.02521072632683339,0.5560954623076415,0.5,0.3,5.551115123125783e-17,80,0.575,0.4593888114309382,0.6848902345476577,0.8260869565217391,0.6858093499247007,0.921796576193647,0.475,0.36213358167715265,0.5897721586232294,0.42500000000000004,0.09999999999999999,1.3877787807814457e-17,0.2
owlv2,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,6,5,0,0.0,20,20,0.5,0.27195784956079183,0.7280421504392082,0.5,0.18708602844739855,0.8129139715526015,0.25,0.08657146910143462,0.49104587170795755,0.5,0.25,0.0,80,0.575,0.4593888114309382,0.6848902345476577,0.8260869565217391,0.6858093499247007,0.921796576193647,0.475,0.36213358167715265,0.5897721586232294,0.42500000000000004,0.09999999999999999,1.3877787807814457e-17,0.25
owlv2,1000097573,16368,324,"The textile material located at the bottom of the image, partially obscured by furniture, with a dark hue.",1,6,5,0,0.0,40,40,0.525,0.36128013526406216,0.6848802933650138,0.6190476190476191,0.384354390378646,0.8189283744598268,0.325,0.18572896676334988,0.4912948754784484,0.475,0.2,5.551115123125783e-17,80,0.575,0.4593888114309382,0.6848902345476577,0.8260869565217391,0.6858093499247007,0.921796576193647,0.475,0.36213358167715265,0.5897721586232294,0.42500000000000004,0.09999999999999999,1.3877787807814457e-17,0.325
owlv2,492268,30816,441,"The wooden canoe, in which a woman wearing a purple shirt and traditional conical hat sits, is loaded with green fruit.",1,20,5,0,0.05903815323175194,5,5,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,1.0,0.47817624989501856,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,0.0,0.0,0.0,1.0
owlv2,492268,30816,441,"The wooden canoe, in which a woman wearing a purple shirt and traditional conical hat sits, is loaded with green fruit.",1,20,5,0,0.05903815323175194,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,0.0,0.0,0.0,1.0
owlv2,492268,30816,441,"The wooden canoe, in which a woman wearing a purple shirt and traditional conical hat sits, is loaded with green fruit.",1,20,5,0,0.05903815323175194,20,20,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,0.0,0.0,0.0,1.0
owlv2,492268,30816,441,"The wooden canoe, in which a woman wearing a purple shirt and traditional conical hat sits, is loaded with green fruit.",1,20,5,0,0.05903815323175194,40,40,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,1.0,0.9549359649323077,1.0,0.0,0.0,0.0,1.0
owlv2,1001663004,15065,223,"The chair occupied by a person wearing a yellow top, situated on the sidewalk to the left of the black jeep.",1,20,5,0,0.0,5,5,0.4,0.05274495052631693,0.8533672003653268,0.0,0.0,0.841886116991581,0.0,0.0,0.5218237501049814,0.6,0.4,0.0,80,0.8875,0.7971534080830098,0.9472484868543125,0.4788732394366197,0.3587791864655684,0.6007848322388705,0.425,0.3151097654523422,0.5406111885690619,0.11250000000000004,0.46249999999999997,5.551115123125783e-17,0.0
